sporsmol_nr,sporsmol_text,sporsmol_riktigAlternativ,sporsmol_lydfil
1,hvilke by kommer the beatles fra (liverpool),D,sporsmol_1.mp3
2,hvilke skiløper har vunnet flest medaljer i ol (marit bjørgen,A,sporsmol_2.mp3
3,i hvilken sport er både kong harald verdensmester og europamester i? (seiling),B,sporsmol_3.mp3
4,Hvilke land er størst i verden (russland),D,sporsmol_4.mp3
5,"hvilke kjent kunstner har malt maleriet ""nøkken"" (theodor kittelsen)",A,sporsmol_5.mp3
6,hvillket år døde elvis (1977),B,sporsmol_6.mp3
7,hvor mye av jordens overflate er dekket med vann,A,sporsmol_7.mp3
8,hva heter det første oljefeltet det ble funnet olje i norge (balder),D,sporsmol_8.mp3
9,hva er norges nasjonalrett? (fårikål),D,sporsmol_9.mp3
10,hvilke norsk by er den eneste som blir nevnt i nasjonalsangen (halden),A,sporsmol_10.mp3
